TileId,x,y,grid_row,grid_col,person_count
1207,1854.376333,7560.73014,31,8,60
1208,2250,7600,31,10,65
1209,2310.009528,7588.919022,31,10,49
1210,2750,7650,31,12,162
1211,3000,7600,31,13,99
1212,3073.872757,7631.062048,31,13,68
1213,3300,7700,31,14,53
1214,3550,7504.000829,31,15,29
1215,3995.619842,7700,31,16,54
1216,4050,7734.493408,31,17,81
1217,4500,7750,32,19,43
1218,4750,7700,31,20,23
1219,5000,7550,31,21,21
1220,5200,7550,31,21,14
1221,5500,7709.021592,31,23,10
1222,5700,7750,32,23,14
1223,5950,7700,31,24,15
1224,6250,7700,31,26,16
1225,6500,7550,31,27,22
1226,6700,7550,31,27,34
1227,6905.173237,7570.357716,31,28,35
1228,7128.647698,7650,31,29,38
1229,7433.90119,7674.425301,31,30,37
1230,7750,7750,32,32,48
1231,8000,7550,31,33,74
1232,8122.795706,7541.318445,31,33,84
1233,8281.642018,7604.530392,31,34,97
1234,8563.292306,7713.835555,31,35,94
1235,8821.9767,7625.708284,31,36,77
1236,9250,7550,31,38,51
1237,9500,7700,31,39,43
1238,9650,7750,32,39,38
1239,9774.82008,7650,31,40,11
1240,250,7850,32,2,8
1241,400,8000,33,2,21
1242,725.64101,7764.599225,32,3,23
1243,967.489777,7754.321008,32,4,24
1244,1206.650921,7800,32,5,26
1245,1300,7950,32,6,30
1246,1530.938404,7806.716906,32,7,37
1247,2000,7850,32,9,51
1248,2080.586777,7923.560608,32,9,48
1249,2378.946721,7982.281517,32,10,48
1250,2700,7800,32,11,182
1251,3000,7773.437293,32,13,116
1252,3050,8000,33,13,69
1253,3350,8000,33,14,34
1254,3714.077666,7967.220052,32,15,23
1255,4000,7850,32,17,18
1256,4015.359696,7787.422389,32,17,27
1257,4490.978408,8000,33,18,13
1258,4748.107639,8000,33,19,11
1259,4998.107639,7950,32,20,12
1260,5200,7851.892361,32,21,11
1261,5450,7800,32,22,11
1262,5748.107639,7800,32,23,11
1263,5949.111968,8000,33,24,11
1264,6249.111968,8000,33,25,13
1265,6449.111968,8000,33,26,18
1266,6749.111968,8000,33,27,21
1267,6999.111968,7950,32,28,27
1268,7199.603396,7959.578583,32,29,37
1269,7325.044617,7770.478376,32,30,34
1270,7528.926039,7848.972538,32,31,43
1271,7875.938383,7888.521937,32,32,67
1272,8231.30204,7983.504211,32,33,102
1273,8274.99307,7800,32,34,87
1274,8750,7773.503888,32,36,73
1275,8877.718283,7942.654093,32,36,55
1276,9050,7800,32,37,45
1277,9286.239754,7841.611014,32,38,39
1278,9750,7900,32,40,35
1279,9950,8000,33,40,12
1280,50,8250,34,1,9
1281,500,8250,34,3,28
1282,650,8250,34,3,31
1283,817.441532,8223.827385,33,4,32
1284,1177.304933,8138.81223,33,5,9
1285,1500,8194.715013,33,7,12
1286,1600,8249.822237,33,7,23
1287,2000,8100,33,9,37
1288,2249.708317,8230.601955,33,9,51
1289,2400,8250,34,10,94
1290,2691.898214,8223.173054,33,11,201
1291,2800,8200,33,12,107
1292,3100,8050,33,13,47
1293,3300,8050,33,14,31
1294,3700,8150,33,15,29
1295,4000,8050,33,17,26
1296,4243.272725,8150,33,17,17
1297,4367.043965,8045.712303,33,18,17
1298,4700,8200,33,19,20
1299,5000,8050,33,21,21
1300,5250,8151.71872,33,22,14
1301,5448.28128,8150,33,22,13
1302,5749.111968,8200,33,23,17
1303,5900,8050.888032,33,24,15
1304,6050,8050,33,25,13
1305,6450,8050,33,26,14
1306,6750,8200,33,28,17
1307,6942.624817,8194.436514,33,28,22
1308,7250,8209.64438,33,30,29
1309,7500,8050,33,31,36
1310,7603.333913,8150.120291,33,31,39
1311,7898.144688,8080.849036,33,32,55
1312,8250,8050,33,34,83
1313,8500,8150,33,35,76
1314,8650,8023.503888,33,35,62
1315,8915.405679,8100.208064,33,36,36
1316,9250,8250,34,38,27
1317,9350,8050,33,38,22
1318,9742.65594,8080.630243,33,39,19
1319,9800,8250,34,40,7
1320,250,8450,34,2,7
1321,500,8450,34,3,16
1322,750,8500,35,4,22
1323,850,8500,35,4,28
1324,1050,8500,35,5,14
1325,1350,8500,35,6,17
1326,1589.277514,8294.807783,34,7,19
1327,1947.85093,8499.601326,34,8,29
1328,2002.753454,8450,34,9,49
1329,2451.027968,8417.697073,34,10,195
1330,2600,8254.607082,34,11,229
1331,2900,8500,35,12,87
1332,3250,8300,34,14,70
1333,3300,8300,34,14,86
1334,3550,8450,34,15,84
1335,3993.272725,8300,34,16,76
1336,4093.272725,8300,34,17,67
1337,4500,8450,34,19,69
1338,4750,8500,35,20,50
1339,5000,8450,34,21,51
1340,5250,8500,35,22,45
1341,5500,8450,34,23,43
1342,5750,8400,34,24,39
1343,5950,8400,34,24,38
1344,6250,8400,34,26,35
1345,6450,8300,34,26,30
1346,6750,8300,34,28,35
1347,7000,8500,35,29,32
1348,7250,8500,35,30,31
1349,7403.08819,8324.938888,34,30,31
1350,7518.624995,8411.232953,34,31,42
1351,7989.296945,8485.682185,34,32,40
1352,8004.063871,8307.85863,34,33,52
1353,8500,8273.503888,34,35,59
1354,8677.985756,8251.382958,34,35,31
1355,8941.42365,8499.829676,34,36,10
1356,9050,8500,35,37,12
1357,9500,8400,34,39,25
1358,9600,8300,34,39,22
1359,9800,8350,34,40,3
1360,200,8550,35,1,5
1362,750,8750,36,4,10
1363,800,8750,36,4,22
1364,1250,8750,36,6,22
1365,1296.215021,8692.451873,35,6,21
1366,1620.749229,8685.375934,35,7,20
1367,1769.914673,8674.727158,35,8,18
1368,2022.061136,8550,35,9,21
1369,2500,8650,35,11,65
